2019-06-30 18:11:31,1,0,1,2,3,4,5,6,7,8,9,10,11
2019-07-01 14:12:00,1,1970,Accounting & Financial Mgt,$10 - $14,$10 - $14,0-5,0-5,1,<50,<50,1,Male,Yes
2019-07-01 14:12:15,1,1970,Accounting & Financial Mgt,$10 - $14,$10 - $14,0-5,0-5,1,<50,<50,1,Male,Yes
